,P_values
0,6.754845364087612
1,6.004640610282047
2,6.353784130054734
3,6.020013470661617
4,5.733768628935549
5,6.439540608594853
6,4.587609393900462
7,6.392154438662568
8,6.125908023657472
9,6.409474636851773
10,5.604127576885504
11,5.602188301860675
12,5.5789339622008285
13,5.807323536110629
14,6.276574426806507
15,6.059158054787292
16,5.654428211412799
17,4.932119364747744
18,6.67716557374483
19,5.150780699172079
20,5.696665139744471
21,5.475193289422645
22,5.143470110834785
23,6.983734078617728
24,5.415094563184581
25,5.150184402229611
26,5.624854448272354
27,5.81424783837722
28,6.4353033751565425
29,
30,5.8401383330525425
31,3.941380311642574
32,
33,5.036104320646442
34,6.938567664092285
35,6.632824574510101
36,4.681859894020426
37,4.971365081051209
38,6.324142039213605
39,5.30496437615108
40,5.295194997021779
41,6.3299885167704355
42,4.845893425110005
43,4.812529417782756
44,4.696377049602556
45,5.6896341913844655
46,5.578791763501645
47,5.983471689154052
48,5.785233636146674
49,5.819862579667437
50,6.2173780585380465
51,5.943920452521287
52,5.583216194365349
53,5.211276898226167
54,6.223185209612955
55,5.802382388860805
56,5.294317979651373
57,5.422129833043253
58,5.729330201207191
59,5.757429965746825
60,6.224323451175119
61,4.8568034634312
62,5.110854013346368
63,4.963181985936494
64,4.847663399280081
65,6.689904197807884
66,4.729835705147912
67,4.85263109900706
68,6.036168708258397
69,6.113738483556881
70,5.298957411675447
71,5.3061628104127445
72,6.267462753251887
73,6.249099376175263
74,5.8645225395787985
75,5.254696249804509
76,6.915587625915763
77,7.518100519519059
78,5.87167411360104
79,5.902351463078566
80,5.868740882871381
81,5.8845395582999815
82,6.594998240852358
83,6.115973424606427
84,6.357373179034101
85,4.884222730941798
86,6.247439655858153
87,5.86051370770434
88,6.08922132246419
89,5.922630948650694
90,6.110869267123197
91,5.036671978626872
92,5.240870334591298
93,6.560925568436263
94,6.440044618872227
95,4.0229613719122685
96,5.679289386326207
97,5.82674089487653
98,6.430104726402101
99,5.6799699946355044
100,5.708710312892498
101,5.053860095562418
102,6.882795970831666
103,4.679459605964875
104,
105,5.540061685960012
106,6.3501566552024515
107,6.140330961191634
108,5.529806476608659
109,5.912772549731111
110,6.409970913797653
111,5.763137270977547
112,6.9242803350226945
113,5.58767901522167
114,5.723982343303025
115,5.70592993388089
116,5.511980803240097
117,6.061840528324206
118,5.378860041524781
119,5.386873562190651
120,6.34160050842305
121,5.659424165294237
122,
123,4.928274830277683
124,5.643924821144368
125,5.0770713887019605
126,4.685098302480925
127,5.133698586848363
128,5.55898742743201
129,5.776681883458022
130,5.471247923950479
131,6.508654674385323
132,3.698369530551437
133,6.2860041093883545
134,5.0815436720509695
135,4.511601374122159
136,6.242680359415382
137,5.241682092317286
138,5.324478948454968
139,5.696103835888913
140,7.031644610983341
141,5.910351938127438
142,5.580185307144589
143,5.618920567717941
144,4.553598326489094
145,5.0136526041012885
146,6.0050886658851415
147,7.060527780987041
148,6.288301584688505
149,6.199611935945149
150,6.178679528214605
151,5.72616679918207
152,6.262602517499031
153,6.658788920398088
154,4.3846336085625595
155,6.084072146411136
156,5.591192183335914
157,6.354276123343766
158,5.694573535570891
159,6.296879772411281
160,6.42993937321526
161,5.884730477445497
162,4.919379285024573
163,6.767983081554395
164,3.8042969607781183
165,5.7038917353537
166,5.755864041608615
167,5.420125889049437
168,5.627056277941962
169,4.593236461509537
170,6.177579358738789
171,6.520198018915054
172,6.362539708432919
173,
174,5.5535432517642835
175,6.235702577193324
176,2.2379440599356406
177,5.084576161812619
178,5.877523938614169
179,5.630963471424998
180,5.538305055493405
181,6.865653507563325
182,5.804413503903906
183,6.614949100694834
184,6.4537276707871065
185,4.449910257838993
186,6.837528868427174
187,5.695489112937814
188,5.815463136050823
189,6.357807950494702
190,6.4296956067864794
191,6.0458324600081035
192,4.897968896095257
193,5.916367817063477
194,6.5310665311653056
195,6.20121565870354
196,6.041625604507079
197,6.676696232631419
198,6.440981468252609
199,6.632169747477589
200,6.835330381970187
201,6.853303739426605
202,5.634870457043344
203,5.576965366878384
204,6.032521673982458
205,3.415619744263209
206,
207,4.913913651980829
208,4.958423683448527
209,5.251564066561608
210,6.175686796440911
211,6.338579060422572
212,5.752704376179633
213,5.237430197769164
214,6.142409250422991
215,5.521080965689561
216,5.874341793417476
217,5.157765732448429
218,5.553222341095864
219,2.3851102552873464
220,
221,5.488866607925366
222,5.591040262673427
223,5.589318275564038
224,6.059683482516987
225,6.1898988231929994
226,5.598612681550414
227,6.367558944450958
228,5.541582082655265
229,6.6074171217576705
230,6.54152880694356
231,6.3218927517392896
232,6.477940355771828
233,5.580118806927099
234,6.388380431187565
235,6.554327528627708
236,6.364913996539636
237,5.2313233531553855
238,6.059001926546761
239,4.516486065287905
240,6.3556605989731345
241,0.3393411174444235
242,4.8033827262972855
243,3.7841584288859345
244,5.023070851046868
245,5.664268790591133
246,6.787477676980739
247,3.65137058491936
